,Data Sources,First seen date,Last seen date,IPs,Domains,RDNS,Historical Whois,current whois,ASN,New FQND,Expiring domains,URL,MD5,SHA1,SHA256,SSDEEP,SSL Certificates,File type,File names,File path,Binaries,Email address,User Agent Strings,Malware Family,Exploit Kits,Threat Description
 Virus Total,Crowd source malware analysis,X,X,X,X,,,,,,,X,X,X,X,,,X,X,X,,,,,,
Facebook threat exchange,attacks/malware identified by attacks against facebook and partner organizations,,X,X,X,,,,,,,X,,X,,,,,,,,X,,X,,
Malware domain list,"list of domains, ip addresses, and hosts related to malicious activity (looks like honeypot data but not completely sure)",,X,X,X,X,,X,X,,,X,,,,,,,,,,,,X,,
,,,,X,X,,,,X,,,X,,,,,,,,,,,,X,,
malshare.com,Community sourced,,,,,,,,,,,,X,X,X,X,,X,,,,,,,,
malc0de.com,Malware Ips from the past 30 days,,,X,X,,,,X,,,X,X,,,,,,,,,,,,,
zeustracker.abuse.ch,"Tracking Zeus C2 servers, as well as community sourced",,X,X,X,,,,X,,,X,,,,,,,,,,,,X,,
vxvault,Malcious links,,,X,X,,,,,,,X,X,,,,,,,,,,,,,
malware.lu,Malware analysis engine -account required,,,,,,,,,,,,,,,,,,,,,,,,,
Malwr.com,malware analysis community based on cuckoo,X,,,X,,,,,,,,X,X,X,,,X,X,X,,,,,,
DeepViz,,X,X,X,X,,,,X,X,,X,X,X,X,,,,,,,,X,X,X,
openbl_1d OR Openbl_7d,"Openbl.org honeypots attacks against port 21,22, 23, 25, 110, 143, 587, 993, 995 for brute force logins and scans for vulnerabilities of phpMyAdmin and web apps",,,X,X,,,,,,,,,,,,,,,,,,,,,
botscout_1d (botscout.com),identification of automated account registration information from past 24 hours,,,X,,,,,,,,,,,,,,,,,,X,,,,
badips.com,ccommunity-based malicious IP addresses - make sure to query by age to avoid stale Ips,,X,X,,,X*,X,,,,,,,,,,,,,,,,,,
AutoShun,,,,,,,,,,,,,,,,,,,,,,,,,,
BGP Ranking,circl.lu ,,,,,,,,,,,,,,,,,,,,,,,,,
C&C tracker,http://osint.bambenekconsulting.com/feeds/c2-ipmasterlist.txt,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Info Armor,"eCrime forums, opensource, web scrapping, foreign language forums, relationships with attackers",,,,,,,,,,,,,,,,,,,,,,,,,
Premium Drops,,,,,,,,,,,X,,,,,,,,,,,,,,,
RIPE,,,,X,X,,,X,,X,,,,,,,,,,,,,,,,
ARIN,,,,X,X,,,X,,X,,,,,,,,,,,,,,,,
APNIC,,,,X,X,,,X,,X,,,,,,,,,,,,,,,,
Domain Tools,,,,,,X,X,,,,,X,X,X,X,,,,,,X,,,,,
Recorded Future,,X,X,X,X,,,,,,,X,X,X,X,,,X,,,,,,,,
Passive Total (riskIQ),,X,X,X,X,X,X,X,,,,X,X,X,,,X,,,,X,,,,,
OpenDNS,,,,,,,,,,,,,,,,,,,,,,,,,,
VirusTotal Intelligence,,X,X,X,X,,,,,,,,X,x,X,X,,X,X,X,X,,,,,
